0.ID,1.filename,2.icon,3.name,4.hiraname,5.age,6.sex,7.job,8.color,9.hp,10.mp,11.san,12.db,13.str,14.con,15.pow,16.dex,17.app,18.siz,19.int,20.edu,21.skill,22.setting,23.scenario,24.driverCom,25.managerCom,26.bossCom,27.spiritualCom,28.warcrimCom,29.creatorCom,30.maker,31.height
11,Kowata_Yuko.html,https://lh3.googleusercontent.com/KC8BQ20nytc9Kj4D9xYZ0CKkPM7cbYt1mrOmNS3BToGFFH-Y4Sa4vPWNAitr1qQ_aQxKgNwjBGvXyy2Ct5XRVJg3OZzrRDigaY_LZg=w360-h620-rw-sm-pa-nu-v0,木幡優子,こわた　ゆうこ,28,女,映像制作系の会社員,#E9967A,12/12,7/7,35/35,1d4,14,9,7,11,13,14,16,17,ccb＜={SAN}　　SAN$ccb＜=35　　幸運$ccb＜=80　　アイデア$ccb＜=85　　知識$ccb＜=55　　目星$ccb＜=75　　聞き耳$ccb＜=70　　図書館$ccb<=0+1    クトゥルフ神話$ccb<=22　　回避$ccb<=65　　応急手当$ccb<=41　　鍵開け$ccb<=50　　隠れる$ccb<=35　　隠す$ccb<=50　　機械修理$ccb<=66　　コンピュータ$ccb<=65+4　　説得$ccb<=41　　英語$ccb<=60　　運転$ccb<=20　　芸術(ユーフォニアム演奏)$ccb<=5+4　芸術（演技）$@n$@--$@w$@TT,ヲタク,棄教$果てにて$Dの信仰(HO友人:三根春花),,もっと欲望に忠実になっていいよ,KPとしてアップを始めたい,進まない美ってあるよね,式いつ？,リスみたい,https://picrew.me/image_maker/471635,168.00
12,Kurusu_Tora.html,https://lh3.googleusercontent.com/Q1CRfqR5avonPjpd5aOKpFJzt8vcxrI01jXBW_HU2tL0rDw3PCbfJ3ZR0RHmNU2N1CoTMy8Gf91xpUn2Ck7LvF_Jgz9l1B8wcMOupA=w360-h724-rw-sm-pa-nu-v0,来栖とら,くるす　とら,21,男,大学3年生,#75A9FF,13/13,17/17,82/85,1d4,15,11,17,7,10,15,10,17,ccb＜={SAN}　SAN$ccb＜=85　幸運$ccb＜=50　アイデア$ccb＜=85　知識$ccb＜=60　目星$ccb＜=75　聞き耳$ccb＜=45　図書館$ccb<=65　組付き$ccb<=28　斧$ccb<=82　キック$1d6+1d4　キック　ダメージ$1d6*2+1d4　キック　MAダメージ$ccb<=74　こぶし（MA:74）$1d3*2+1d4　こぶし　MAダメージ$ccb<=60　英語$ccb<=30　ラテン語$ccb<=50　歴史$ccb<=0    クトゥルフ神話$@n$@w$@-$@--$@照れ,柔道黒帯。体を動かすことに関しては得意だが、素早さが少し足りない。日常生活では友達に鈍臭いと言われたりする。$歴史が好きで、ヨーロッパ留学をしたい。その一貫としてラテン語も習っている。$小さい頃から柔道をやっていることもあり、将来はアスリートになるかと思っている。実力があり、オファーもきている。しかし、実際にヨーロッパへ留学してから将来のことをきめたいので、柔道団からは猶予をもらっている。$妹・うるのことを溺愛しているが、あまり表面には出さない。幼少期にうると喧嘩してお顔に傷をつけたことを今でも後悔している。$頭は単純。ただ学ぶ意欲は強い。本を読むより人から話を聞く方がわかりやすい。先生に絡みに行き、質問するタイプ。,デッドマンズエスケイプショウ$ワンルーム・ディスコン【HO2】,かわいい一般人,これからどんどん使っていくど～,かわいい教え子,,,狂人に囲まれると映える,https://picrew.me/image_maker/13338,184.00
13,Kaito_Sota.html,https://lh3.googleusercontent.com/JCp-pKXatDm72ltK0m4bNRxbPk5XZ2fymRt3Jpsn0GHf761m8cUL1A52lHydplBqycmqIUPA2kkNdnSLNASNIF9CGwp5ZWUTUQwE7w=w360-h724-rw-sm-pa-nu-v0,海棠颯太,かいとう　そうた,21,男,怪盗団員,#3F51B5,14/14,13/13,65/65,1d4,13,15,13,8,17,12,13,9,ccb＜={SAN}　　SAN$ccb＜=65　　幸運$ccb＜=65　　アイデア$ccb＜=45　　知識$ccb＜=70　　目星$ccb＜=25　　聞き耳$ccb＜=25　　図書館$ccb<=0    クトゥルフ神話$ccb<=56　　回避$ccb<=61　　鍵開け$ccb<=40　　隠れる$ccb<=55　　信用$ccb<=30　　追跡$ccb<=21　　精神分析$ccb<=35　　頭突き$ccb<=31　　天文学,ばか。$怪盗はもともとかっこよく見えていて、伯爵に会って強く憧れて入団。海棠（かいどう）（花海棠ハナカイドウ）はリンゴの仲間。怪盗から。,豪華客船と怪盗団,,曇らせ最高,苦労人、なようなそうでないような,天然アホ主人公とか言うはちゃめちゃギャグ？キャラ,主人公,背負わせてすまん,https://picrew.me/image_maker/332327,172.00
14,Mukai_Ko.html,,向井鴻,むかい　こう,36,男,刑事,#E0E0E0,10/10,12/12,59/60,0,8,6,12,16,8,14,11,18,ccb<={SAN}　　SAN$ccb<=60　　幸運$ccb<=55　　アイデア$ccb<=90　　知識$ccb<=65　　目星$ccb<=55　　聞き耳$ccb<=55　　図書館$ccb<=0    クトゥルフ神話$ccb<=65　　回避$ccb<=50　　自動車運転$ccb<=80　　応急手当$ccb<=70　　医学$ccb<=70　　博物学$ccb<=41　　MA$ccb<=36　　生物学$ccb<=61　　拳銃$ccb<=50　　組付き$ccb<=31　　鍵開け,非常に手際よく、俊敏性に優れている。好奇心が強く幅広い知識を持っていて、医療の心得もある。しっかり者でよくチーフの補佐を務める。$見た目はいかつく見えるかもしれんが、人当たりは良く、よく上司から部下までコミュニケーションをとる。かっこよく見られたいので髪が白にちょい赤という奇抜な色をしているし、サングラスをかけている。,庭師は何を口遊む【HO4】,,向井、ファンサしてあげて,☆,背負ってんね〜,向井さん(の土下座)は(中々に)悪くない(ものだわ)！,向井〜〜〜〜〜！大好き〜〜〜〜！！！土下座して〜〜〜〜！！！,創造主,179.00
15,Kaitsuki_Sae.html,,海月紗衣,かいつき　さえ,20,女,バイト？,#C3E9FF,15/15,9/9,45/45,1d4,9,13,9,7,5,16,15,15,ccb＜={SAN}　　SAN$ccb<=45　　幸運$ccb<=75　　アイデア$ccb<=75　　知識$ccb<=71　　目星$ccb<=50　　聞き耳$ccb<=85　　図書館$ccb<=0    クトゥルフ神話$ccb<=14　　回避$ccb<=70　　こぶし$ccb<=56　　コンピュータ$ccb<=65　　隠す$ccb<=45　　オカルト$ccb<=41　　変装$ccb<=50　　水泳$ccb<=35　　心理学,,海も枯れるまで【HO1】,,どんどん成長していけ,いいぞもっとやれ,かわいいなぁもう,おねショタ,愛,管理人,180.00
16,Kaneari_Himeko.html,https://lh3.googleusercontent.com/kt1lzRFwoc4uB03ackV_nMPnof6V6586aHicr8kxOVFzpK677lpjRHc0PqpXVQo73g0x5yJKvddtkXOoj6K0-Df-cImQOoZnnb9uOg=w360-h620-rw-sm-pa-nu-v0,鐘有姫芽子,かねあり　ひめこ,15,女,中学3年生,#98FB98,13/13,14/14,60/70,0,9,15,12?,12,9,10,9,11,ccb＜={SAN}　　SAN$ccb<=70　　幸運$ccb<=45　　アイデア$ccb<=55　　知識$ccb<=50　　目星$ccb<=80　　聞き耳$ccb<=35　　図書館$ccb<=0    クトゥルフ神話$ccb<=24　　回避$ccb<=50　　隠れる$ccb<=25　　芸術（ピアノ）$ccb<=25　　芸術（バイオリン）$ccb<=25　　芸術（フルート）$ccb<=15　　乗馬$ccb<=50　　弓$ccb<=35　　言いくるめ$ccb<=41　　精神分析,,沼男は誰だ？【HO1】,(´;ω;｀),一人で悩まないで～～みんながついてるよ,名言でた,KPやった甲斐があったと悶えた,ずっと観てるよ,これからの活躍に期待してます,https://picrew.me/image_maker/41305,150.00
17,Kanzato_Nagi.html,,漢里凪,かんざと　なぎ,30,女,海運業、情報屋,#BE6AD4,12/12,12/12,60/60,0,9,12,12,13,10,12,13,16,ccb＜={SAN}　　SAN$ccb<=60　　幸運$ccb<=65　　アイデア$ccb<=80　　知識$ccb<=51　　目星$ccb<=75　　聞き耳$ccb<=40　　図書館$ccb<=0    クトゥルフ神話$ccb<=26　　回避$ccb<=80　　言いくるめ$ccb<=60　　自動車運転$ccb<=40　　隠す$ccb<=53　　経理$ccb<=54　　コンピュータ$ccb<=48　　信用$ccb<=40　　心理学$ccb<=45　　値切り$ccb<=40　　キック,コガネシマアジ$釛島　芦斗（こがねしま　あじと）$$カンナギ$漢里　凪（かんざと　なぎ）$$コガネシマアジはカンナギにくっついて生きる魚,落園,,よく生きました◎,KPも見ててすげー楽しかった,,先輩〜！…………,OL最高かよ,https://picrew.me/image_maker/591466,159.80
18,Danzaki_Momiji.html,,檀崎栴,だんざき　もみじ,24,男,保育士,#A596C7,/13,/10,/50,0,8,10,10,19,11,15,14,13,ccb＜={SAN}　　SAN$ccb<=50　　幸運$ccb<=70　　アイデア$ccb<=65　　知識$ccb<=60　　目星$ccb<=55　　聞き耳$ccb<=65　　図書館$ccb<=0    クトゥルフ神話$ccb<=46　　精神分析$ccb<=45　　心理学$ccb<=65　　説得$ccb<=68　　回避$ccb<=75　　追跡$ccb<=61　　人類学$ccb<=60　　応急手当$ccb<=30　　鍵開け$ccb<=25　　隠す$ccb<=40　　隠れる$ccb<=35　　忍び歩き$ccb<=20　　写真術$ccb<=50　　登攀$ccb<=31　　芸術（保育士）,イメージカラーが楝（おうちと読む、栴檀（せんだん）という花の古い名前）色,NOBODY*2【HO3】$NOBODY学園,ノータッチ…ですよ？,無理に喋らなくていいよ,お疲れ様でした,血の味噌汁飲んでくれてありがとう,性癖…大変だったわね…,しゃべれ,創造主,182.00
19,Ganymedes.html,,ガニュメデス,がにゅめです,13,男,天使,#FF5722,11/11,14/14,70/70,-1d4,7,13,14,7,18,9,16,5,ccb<={SAN}　　SAN$ccb<=70　　幸運$ccb<=80　　アイデア$ccb<=25　　知識$ccb<=24 薬学$ccb<=93 芸術（歌唱）$ccb<=70  幸運$ccb<=80 アイデア$ccb<=25  知識$ccb<=50 図書館$ccb<=36 英語$ccb<=60 忍び歩き$ccb<=55 目星$ccb<=60 聞き耳$ccb<=50 キック,明るくて素直で真っ直ぐでいたずらが好きな男の子です。$親族はガニュメデスを心配してるけどある程度の信仰がある。ガニュメデス本人はかなり信仰が強くて、聖母のために歌を歌うことが人生の目標(？)$親と離れて少し寂しい気持ちもあるけど、聖母たちのために頑張っているので大丈夫$自分の顔が良いことに気付いている。でも関係なくうるさい。$歌がこの子の芯。元々才があったのは確かだが、圧倒的に努力して歌がうまくなった。$ふざける猪突猛進ボーイ(?)$天使になるということについては前向きに考えてる$リヒテンシュタインのど田舎出身です$まあまあ裕福,ヴェルネの天使は死を歌う,ぼくらの天使,"まっすぐ進み続けたね
いってらっしゃい",,,ガニュ君はね…天使になったんだよ…,天使,戦犯,157.00
20,Suzushika_Kaname.html,https://lh3.googleusercontent.com/Aba2NSev0dvOr4lXoGYw0AOPK-2cp_bCBPEULBcQRmqDdflTXPTH5lWKXVg2oSzbhm3I_zGjYvtgBmk9O2ol_4c03raJxHhGt8kQBm8=w360-h724-rw-sm-pa-nu-v0,凉鹿枢,すずしか　かなめ,22,女,探偵助手,#FFFFFF,/11,/16,/80,0,7,10,16,14,10,12,15,15,ccb<={SAN}　　SAN$ccb<=80　　幸運$ccb<=75　　アイデア$ccb<=75　　知識$ccb<=55　　目星$ccb<=50　　聞き耳$ccb<=65　　図書館$ccb<=4    クトゥルフ神話$ccb<=28　　回避$ccb<=70　　英語$ccb<=75　　こぶし$ccb<=55　　組付き$ccb<=75　　応急手当$ccb<=70　　心理学$ccb<=21　　変装$ccb<=45　　説得$ccb<=30　　経理$ccb<=52　　コンピュータ,るうとは物心ついた頃から一緒にいる幼馴染。幼稚園から大学まで一緒。学校内でつるむ子達は別だけど、家がめちゃくちゃ近いのでよく一緒に帰っていた。ちなみにかなめは中学吹奏楽部（トランペット）、高校文芸部。$心理学専攻。るうとが探偵業やることに心配しながらも今までずっと近くにいたし、離れて見守ることも（一人で生きていく（成長する）ことも）必要だと考えていた矢先、助手に誘われた。ちょうど就職先を悩んでいた頃でもあったし、なによりるうとが近くにいると安心するので承諾。探偵の助手というなかなか珍しい状況を楽しんでいる。$明るい。面倒見が良い。できるだけ人の助けになりたい。$友達からたまにるうととのそういう話題が出てくるが、全部否定している。$弟（今高１）がいる。恥ずかしがり屋だけど枢に対してはちょっと反発している。四方咲家とは家族ぐるみの交流があり、お姉さんとも仲がいい。,同居人【HOあり】,瑠兎を守ってくれてありがとう,かっこいい人生でした,,,,Just Kaname,https://picrew.me/image_maker/258346/,160.00
21,Yasuharu.html,,叶櫻,やすはる,28,男,都市伝説課職員,#F58F98,15/15,27/27,59/75,1d4,10,12,15+12,7,10+1,18,13,11,"1d3
$@不安
$@恐
$@ツン
$@にこ
$@泣
$@悲
$@怒
$ccb<={SAN}　　SAN
$ccb<=75　　幸運
$ccb<=65　　アイデア
$ccb<=55　　知識
$ccb<=80　　目星
$ccb<=80　　聞き耳
$ccb<=50　　図書館
$ccb<=54　　回避
$ccb<=80　　槍
$1d10+1d4　槍ダメージ
$ccb<=55　　投擲
$1d8+1+(1d4)/2　投げ槍ダメージ
$ccb<=54　　オカルト
$ccb<=50　　隠れる
$ccb<=1　　クトゥルフ神話
$@戦闘（綺麗）
$@戦闘（傷）",198cm。一人称は僕。$視力悪い。$びびり。ヤマザクラは野生の桜で、寿命が長く、樹高も高いからこの子に似合ってる+日本ぽい名前がいい,ようこそ！迷冥市役所都市伝説課へ！【HO1】,,独羅とお幸せに,,キャラ被りなんて……！なかった！最高！好き！,,でかいオドオド系最高かよ,創造主,198.00
22,Maiki_Sorano.html,,舞木空乃,まいき そらの,17,女,高校2年生,#FF9400,10/10,11/11,55/55,0,12,7,11,16,15,12,14,15,ccb<={SAN}　　SAN$ccb<=55　　幸運$ccb<=70　　アイデア$ccb<=75　　知識$ccb<=50　　目星$ccb<=65　　聞き耳$ccb<=75　　図書館$ccb<=0    クトゥルフ神話$ccb<=68　　回避$ccb<=55　　オカルト$ccb<=50　　歴史$ccb<=41　　日本語（古文）$ccb<=51　　考古学$ccb<=80　　説得$ccb<=80　　忍び歩き,身長160cm体重53kgくらい$図書委員、ヒラ部員$$オカルトは怖いのに好奇心で調べちゃうタイプ。オカルト部があれば必ず来る。$本が好き。古文やら歴史やら考古学やらにも興味があって本を読んで知識を蓄えた。$$本読んでるときが多いから大人しく見えるけど、わりかし他人に絡む。つっこみとかするかも？（出てくるキャラによる）$オカルト関連以外なら誰かが戸惑ったり失敗すると手伝おうとするし、テキパキ動ける有能（だと思う）$オカルト関連の話だと、引き腰にはなるがやってみる。ただ、自分に話題がきたりするとたじたじになる。$$両親共に生きているが、父はほとんど仕事で家にいないため、母と二人暮らし状態。家帰ったらだいたい1人。$紫髪はなんか似合いそう〜と思ってやったらうまくいったからそのままにしてる。,Bye-Bye Summer Days,まいき～卍,好き,,ちゅ,眼鏡女子高生のお目本の様な眼鏡女子高生,管理人の割に喋ってて好き,創造主,157.00
23,Sato_Yoshihiro.html,,佐藤慈博,さとう よしひろ,25,男,外科医,#607D8B,11/11,15/15,75/75,1d4,14,11,15,14,11,11,17,18,ccb<={SAN}　　SAN$ccb<=75　　幸運$ccb<=85　　アイデア$ccb<=90　　知識$ccb<=75　　目星$ccb<=65　　聞き耳$ccb<=70　　図書館$ccb<=0    クトゥルフ神話$ccb<=45　　回避$ccb<=92　　医学$ccb<=85　　応急手当$ccb<=80　　機械修理$ccb<=73　　電気修理$ccb<=56　　薬学$ccb<=65　　生物学$ccb<=61　　信用$,,紡命論とシンギュラリティ（第1陣）【HO1】,君のおかげで助かった,がんばれ～,,ムードメーカーというかもはやクッション,,,ぴくるー,166.00
24,Sasaki_Kokoe.html,,佐々木心笑(笹子),ささき ここえ(ささこ),29,女,youtuber,#ED980C,11/11,11/11,55/55,0,12,10,11,8,14,11,12,18,ccb<={SAN}　　SAN$ccb<=55　　幸運$ccb<=60　　アイデア$ccb<=90　　知識$ccb<=50　　目星$ccb<=60　　聞き耳$ccb<=70　　図書館$ccb<=0    クトゥルフ神話$ccb<=16　　回避$ccb<=50　　信用$ccb<=40　　心理学$ccb<=70　　説得$ccb<=30　　芸術（工芸）$ccb<=80　　製作$ccb<=31　　コンピュータ$ccb<=36　　変装$ccb<=68　　こぶし$ccb<=38　　応急手当$ccb<=16　　精神分析$ccb<=25　　MA$ccb<=40　　機械修理$@n$@--,,好きなことで、生きていく（第3陣）【HO2】$地を這う標,,良かったね,,おねーさんキャラ大好きだからこれからも同卓してくれ,,可愛がられたい,https://picrew.me/image_maker/5209,156.40
25,Kamado_Nanaka.html,,竃菜々華,かまど ななか,21,女,大学3年生,#FF1745,10/10,12/12,-14/60,0,10,8,12,12,14,12,14,11,CCB<={SAN} SANチェック$CCB<=(12*5) DEX倍数$CCB<=70 アイデア$CCB<=60 幸運$CCB<=55 知識$CCB<=65 聞き耳$CCB<=70 図書館$CCB<=65 目星$CCB<=80 母国語（日本語）$CCB<=30 芸術（書道）$CCB<=50 心理学$CCB<=61 人類学$CCB<=72 歴史$CCB<=50 英語,高校生まで真面目を演じていた節がある。大学入って吹っ切れた。$冷静$死にました,桜狂わば胎の中（第三陣）,,お疲れ様,,死なないで！,,,https://picrew.me/image_maker/84797,158.00
26,Zeis_Rudolph.html,,Zeis Rudolph,ぜいす・るどるふ,23,男,処刑人,#000000,12/12,9/9,45/45,1d4,12,10,9,17,11,14,16,15,ccb<={SAN}  SANチェック$ccb<={POW}*3$ccb<=45  幸運$ccb<=80  アイデア$ccb<=75  知識$ccb<=80  医学$ccb<=75  目星$ccb<=55  図書館$ccb<=64  聞き耳$ccb<=81  鎌$ccb<=45  回避$ccb<=45  隠れる$ccb<=60  忍び歩き$ccb<=60  説得$ccb<=50  心理学$ccb<=60  追跡$ccb<=30  精神分析$1d8+2+1d4  ダメージ$1d8+2+1d4+2  ,,ジャンヌの猟犬【HO4】,なんかこわい,頑張れ,Congratulation⭐︎,,,羨ましい,上司,180.00
