0.ID,1.filename,2.name,3.hiraname,4.age,5.sex,6.job,7.color,8.hp,9.mp,10.san,11.db,12.str,13.con,14.pow,15.dex,16.app,17.siz,18.int,19.edu,20.skill,21.setting,22.scenario,23.driverCom,24.managerCom,25.bossCom,26.spiritualCom,27.warcrimCom,28.creatorCom,29.maker,30.height
11,Hisame_Maia.html,久女 真彌,ひさめまいあ,,女,母,#D8BFD8,,,,,,,,,,,,,,シャブ中、綺麗なものが好きだよ、贋作売って生活費の足しにしてる,棄教$探索者ピックアップガチャ,,よくわかんねー女,まだよくわからんが、気にはなる、,,自分でも人生見失ってるね,サイコだよね？？？,❌,
12,Arima_Fumito.html,有馬 文人,ありまふみと,,男,,#008000,,,,,,,,,,,,,,そこそこスペック高い噛ませモブ、良い歳した男が泣くな！,私、友蔵の孫の友人です。$コマドリの葬列$スモーキンバラッド,やべーやつ？,犬,一周回って、クトゥルフのPCであるという事実がもう可哀想,,もっと泣け！,影の薄い男,,
13,Konoe_Tsumiki.html,近江 ツミキ,このえつみき,24,女,,#DC143C,,,,,,,,,,,,,,のじゃロリ、和服、車椅子、愛人の子供、撲殺、,同居人,,,,好き要素の詰まった子、ごめんね…,良いもの見せてもらったよ,NTR!NTR!,○,143
14,Tono_Kirie.html,遠野 キリエ,とおのきりえ,24,女,,,,,,,,,,,,,,,,実はツミキと同小の知り合い以上友達未満だったりした,カタシロアナザー,,,,楽しかったよ,冷たい…苦手なタイプ,,○,
15,Shizuki_Kasane.html,滋月 累,しづき かさね,26,女,,,,,,,,,,,,,,,,,落園,,楽しかったよ、ありがとうね,,,,これが綺麗な一般人か…,❌,
16,Araya_Usimitsu.html,荒屋 憂允,あらやうしみつ,17,男,,,,,,,,,,,,,,,,オカルト大好きクラブ,,いい部長副部長コンビだったと思う,よきよき,よく口が回る代表,めちゃいい…,おかるとおかっぱ,多弁上手すぎ,,168
17,Miake_Najimu.html,光明 馴,みあけ なじむ,9,男,,,,,,,,,,,,,,,,もちもちちぎりパン,ぼくとかみさまのなつやすみ,,,,,,たっぷりしたモンブランって感じ,,139
18,Caesar.html,シーザー,,12,男,,,,,,,,,,,,,,,,太い足,ヴェルネの天使は死を歌う,これからもよろしくね,大好きbyガニュメデス,,,,背伸びした子供,,152
19,Takase_Tsukihiko.html,高瀬 尽彦,たかせ つきひこ,35,男,,,,,,,,,,,,,,,,,紡命論とシンギュラリティ,,,,,,意外と情があって人間臭くて好きだよ,,171
20,Katsugi_Takuma.html,荷担 逞,かつぎ たくま,32,男,,,,,,,,,,,,,,,,,火灯し頃の蜘蛛踊り,,ごめんなあ,,,,自分が恥ずかしいよ…,,182
21,Uei_Southerncross.html,上井 南十字,ウエイ サザンクロス,22,男,,,,,,,14,,14,15,,,11,12,,,ワンルーム・ディスコン,,イッちゃってる陽キャ,すげえやつ,いいやつで楽しいもの好きで名前やばい人,,いいやつではあるんだよな,,178
22,Suzushiro_Kasumi.html,雪代霞,すずしろかすみ,23,男,,,,,,,,,,,,,,,,,雨降らしの蝶,やっぱこれだね! 戦犯のRP!,戦犯のRPの神髄,秀逸,,よせやい,戦犯の真骨頂,,174
23,Isagi.html,些,いさぎ,,男,,,,,,,,,,,,,,,,,ようこそ！迷冥市役所都市伝説課へ！,,,,,,悲しい怪物感,,203
24,Yuta.html,ユゥータ,,13,男,,,,,,,,,,,,,,,,,,,ガキぃですね,僕からはすべてがかわいいとしか見えん,,,早く成長しろ,,158
25,John.html,John,ジョン,22,男,,,,,,,,,,,,,,,,,ジャンヌの猟犬,,お前はすげえよ,英訳されて英語の教科書にまで載る演説でした,,,,,180
26,Amida.html,アミダ,,25,女,,,,,,,,,,,,,,,,,ＨＩＲＡＥＴＨ,,アミダ〜〜〜助けてよ〜〜〜,,,,,❌,167
27,Yui.html,ユイ,,,男,,,,,,,,,,,,,,,,,キルキルイキル,,,,,,強く生きて…,,
28,Hatanaka_Magire.html,畠中紛,はたなかまぎれ,,,掃除屋,,,,,,,,,,,,,,,,サイレン清掃会社,,面白くて好き,キープボトルをつくりたい,,,あんな感じだったけど一掃と仲良くしてやってほしい,,185
29,Kanadome_Kotonoha.html,京言葉,かなどめことのは,21,女,,,,,,,,,,,,,,,,,辜月のN,,,,,いやや！いや」！死m 豁ｻ縺ｫ縺ｨ縺?↑縺！！！,狂気の京都弁はずるいって,○,
30,Ojisan.html,おじさん,,36,男,,,,,,,,,,,,,,,,,片鱗,,ど、どういう？,,,汚ったない！汚ったない！,あ〜〜〜〜かわいいかわいいかわいい,,175
31,Yagusa.html,八草,やぐさ,25,男,,,,,,,,,,,,,,,,,My Sweet\ Dirty!,,,,,ヤクザですわーーー,,,177
32,Otake_akiko.html,大豪商子,おおたけ あきこ,18,女,,,,,,,,,,,,,,,,,脱獄は乙女の嗜み,,頑張りましたわね〜〜,テンプレの超高級レストランお子様ランチでしたわ〜,,お嬢様ですわ〜〜〜〜,行子との対等感好き,○,170
33,Hon_Syuchen.html,哄秀权,ホンシュウチェン,52,男,,,14/14,14/14,75/75,,14,12,15,16,11,13,14,16,ccb＜={SAN}　SAN$ccb＜=75　幸運$ccb＜=70　アイデア$ccb＜=80　知識$ccb<=75 拳銃$ccb<=82 回避$ccb<=41 コンピュータ$ccb<=75 目星$ccb<=71 精神分析$ccb<=75 図書館$ccb<=40 歴史$ccb<=85 芸術（プロパガンダ）$ccb<=50 法律,国認建築家を目指してxx浪もした、今でも空きあらば戦争の焼け野原に自分で設計した建物を建てる。国事や生活基盤などは趣味で作る訳にはいかないため、専らスッカスカの博物館建ててる,蹂躙するは我が手にて,,我らが戦犯、我らがホンシュウチェン,,,皆さんが静かになるのを待つ間沢山の命が失われました,好きだ！好きだ！好きだ！,,171
34,Tensai.html,天災,,,男、女,,,,,,,,,,,,,,,,,World End Breakers,,,,,いつのまにか自然災害大好きに…,叩いたり引っ張ったりしてごめんね…,,169
35,Robot_Deka.html,ロボット・デカ,ロボ,,男性ベースアンドロイド,,,,,,,,,,,,,,,,,VOID,,,ビジュアルから全て天才だよ、でも主に名前的な意味でHO2持たせなくてよかった,,,おもしろかっこよくてずるい,,198
36,Suzuki_Sennichi.html,鈴木潜一,すずきせんいち,28,男,,,,,,,,,,,,,,,,,週末は探偵事務所にて,,せんじいいいいいい,,,,,,179
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
