0.ID,1.filename,2.icon,3.name,4.hiraname,5.age,6.sex,7.job,8.color,9.hp,10.mp,11.san,12.db,13.str,14.con,15.pow,16.dex,17.app,18.siz,19.int,20.edu,21.skill,22.setting,23.scenario,24.driverCom,25.managerCom,26.bossCom,27.spiritualCom,28.warcrimCom,29.creatorCom,30.maker,31.height
13,Larme.html,,larme,らるむ,11,男,聖歌隊,#00984F,9/9,8/8,37/40,0,9→11,8,8,14,17,10→16,12,8→15,ccb<=40　幸運$ccb<=60　アイデア$ccb<=40　知識$ccb<=40　聞き耳$ccb<=35　目星$ccb<=60　図書館$ccb<=46　他の言語(英語)$ccb<=50　母国語(フランス語)$ccb<=45　説得$ccb<=35　心理学$ccb<=60　芸術(歌唱)$ccb<=45　隠れる$ccb<=45　忍び歩き$ccb<=53　回避,フランスはパリの出身$勉学に秀でている$４歳下の弟がいる$ルールを守らない人が嫌い,ヴェルネの天使は死を歌う,大人になって自由に歌え！,僕のこと覚えててよ！？,,,身長抜かされた…！！(幻覚),真面目な年下かわいい,戦犯,145
14,Yomosaki_Ruto.html,,四方咲瑠兎,よもさきるうと,22,男,探偵,#4B5F9E,7/14,11/11,11/55,1D4,13,14,11,8,14,13,13,14,ccb<=55　幸運$ccb<=65　アイデア$ccb<=70　知識$ccb<=60　目星$ccb<=50　聞き耳$ccb<=35　図書館$ccb<=56　回避$ccb<=35　言いくるめ$ccb<=31　鍵開け$ccb<=55　心理学$ccb<=50　追跡$ccb<=25　法律$ccb<=40　運転(車)$ccb<=40　組みつき$ccb<=55　こぶし$ccb<=75　キック$ccb<=21　マーシャルアーツ$ccb<=56　他の言語(英語),中学テニス部$高校生徒会長(天啓)$探偵事務所Spica所長(天啓)$6歳年上の姉がいる,同居人【HO無】,人事を尽くして天啓を待つ,大丈夫。ずっとそばにいる,,,,守られてたね;;,https://picrew.me/image_maker/625951,174
15,Toki_mitsuru.html,,凍季密,ときみつる,32,男,精神科医,#7CA1F0,12/12,11/11,54/55,0,10,11,11,10,10,12,11,18,ccb<=55 幸運$ccb<=55 アイデア$ccb<=90 知識  $ccb<=35 聞き耳$ccb<=50 目星$ccb<=55 図書館$ccb<=60 応急手当$ccb<=81 精神分析$ccb<=65 心理学$ccb<=50 医学$ccb<=45 機械修理$ccb<=45 電気修理$ccb<=46 薬学$ccb<=21 生物学$ccb<=31 他言語（英語）$ccb<=16 他言語（ドイツ語）$ccb<=35 言いくるめ,日課は始業前にコーヒー飲むこと(角砂糖2個)$甘党$髪の毛は腰位の長さ$たまに眼鏡をかける,紡命論とシンギュラリティ$【HO4】,ぱんち！,かっこよかったぜ,,ロールは最高でしたロールは、あと信念貫いてるところとかね、私がもっと強ければ…！,笑顔の絶えない職場,同志よ！,https://picrew.me/image_maker/134965,170
16,Yumehami_Baku.html,,夢蝕ばく,ゆめはみばく,？,女,夢の管理人/Vtuber,#FEECD8,,,,,,,,,,,,,,https://emoklore.charasheet.jp/edit/75490$夢見の妖精通過してから見てね,エモクロア　夢見の妖精,シンプルかわいい枠,ほわほわかわいい,,かわいいい,,シンプルにかわいかった,https://picrew.me/image_maker/41329,
17,Arche_Lifar.html,,Arche Lifar,あるしゅ・りふぁーる,29,男,司祭,#B7282E,5/11,11/14,24/70,1D4,15,7,14,10,14,15,16,15,ccb<=70　幸運$ccb<=70　アイデア$ccb<=80　知識$ccb<=40　目星$ccb<=50　聞き耳$ccb<=50　図書館$ccb<=55　オカルト$ccb<=60　心理学$ccb<=50　説得$ccb<=50　歴史$ccb<=70　信用$ccb<=46　他の言語(ラテン語)$ccb<=35　応急手当$ccb<=36　精神分析$ccb<=80　ナイフ$ccb<=50　回避$ccb<=26　変装$ccb<=47　クトゥルフ神話$$1d4+2+1d4　ナイフ,両親のことは知らない$基本的に物腰柔らか$人畜無害な顔してる$人生と信仰と魂を汚された男,ジャンヌの猟犬【HO3】,"顔と存在がえっちすぎる
よく頑張りました","おまままままま
守ってくれてありがとうね？",,えっち,そうでしょ,顔がエロい,戦犯,185
18,Ron.html,,栄和,ろん,28,女,市役所役員(都市伝説課),#ACA7BB,9/11,13/13,0/65,1D4,14,10,13-5,7,9+1,12,13,14,ccb<=65　幸運$ccb<=65　アイデア$ccb<=70　知識$ccb<=55　目星$ccb<=65　聞き耳$ccb<=45　図書館$ccb<=54　回避$ccb<=35　心理学$ccb<=45　応急手当$ccb<=46　精神分析$ccb<=30　言いくるめ$ccb<=30　追跡$ccb<=40　オカルト$ccb<=75　太刀$ccb<=65　短刀$$2d8+1d4　太刀$1d4+1d4　短刀,アナログゲームが好き$一番好きなのは麻雀$全自動麻雀卓が欲しい(経費で)$スタイリッシュお姉さん(ポン)$武器は太刀、お守りに小刀,ようこそ！迷冥市役所都市伝説課へ！【HO1】,ママ～！,,最後ちゃんとお別れの言葉を伝えれてよかった。,,,かっこよかった最期まで,上司,165
19,Kochiya_Kaoru.html,,東風谷薫,こちやかおる,18,男,高校生(オカルト部副部長/保健委員),#585C82,10/10,11/11,40/55,0,9,5,11,8,11,14,11,12,ccb<=55　幸運$ccb<=55　アイデア$ccb<=60　知識$ccb<=35　目星$ccb<=50　聞き耳$ccb<=75　図書館$ccb<=45　オカルト$ccb<=25　ナビゲート$ccb<=25　言いくるめ$ccb<=11　天文学$ccb<=35　心理学$ccb<=40　信用$ccb<=51　精神分析$ccb<=60　応急手当$ccb<=20　医学$ccb<=20　博物学$ccb<=36　回避,ひょろいもやし$日光アレルギー$保健室の常連$姉と妹に挟まれた長男$突然の奇行(言葉足らず),Bye-Bye Summer Days,雷同の頭を撫でたのは、繰り返す世界で変わらない雷同に少し安心してるからです,す　き,,かわい〜〜子、私も頭なでなでしたい,仲良くしたいいいいいい,なんで雷同の頭撫でたんですか！？,創造主,180
20,Himeragi_Ritsuka.html,,姫柊律耶,ひめらぎりつか,25,男,フリーター,#764699,11/12,16/16,55/80,1D4,14,11,16,10,10,13,12,16,"ccb<=80　幸運
$ccb<=60　アイデア
$ccb<=80　知識
$ccb<=50　目星
$ccb<=75　聞き耳
$ccb<=35　図書館
$ccb<=80　隠す
$ccb<=80　忍び歩き
$ccb<=50　回避
$ccb<=55　芸術(化粧)
$ccb<=55　制作(人形)
$ccb<=45　信用
$ccb<=55　鉈
$ccb<=50　組付き
$
$1d6+1+1d4　鉈
",女装男子$かわいいもの大好き$だからお人形遊びする,雨降らしの蝶【HO1】,こういうキャラのRPが一番好きかもしれない,人生楽しそうだね～^^,,,嫌い！！！でももっと遊びたい！！！,好き！！！でも近寄らないで！！！,https://picrew.me/image_maker/139707,171
21,Yasaka_Rui.html,,八坂縲,やさかるい,20,女,文学部2年生,#FF336E,8/8,14/14,70/70,0,14,7,14,10,15,9,13,12,ccb<=70　幸運$ccb<=65　アイデア$ccb<=60　知識$ccb<=40　聞き耳$ccb<=55　目星$ccb<=75　図書館$ccb<=60　応急手当$ccb<=40　心理学$ccb<=41　他言語（英語）$ccb<=60　回避$ccb<=70　歴史$ccb<=55　信用$ccb<=65　キック（厚底靴）,ビジネスヤンデレ$根は真面目$転勤族$踏みつけ(厚底靴),辜月のN【HO箱】,"かわいいいいこ
俺は秘匿を話した！！！",,,めちゃ好きだしロールめちゃめちゃよかったけど同卓あんまりしたくない,なんなんもなんなん,百合が最高だった,戦犯,150
22,Seseragi_Shinobu.html,,細流忍,せせらぎしのぶ,21,男,経済学部3年生,#086776,15/15,9/9,45/45,0,8,13,9,11,13,16,10,15,ccb<=45　幸運$ccb<=50　アイデア$ccb<=75　知識$ccb<=50　目星$ccb<=40　聞き耳$ccb<=65　図書館$ccb<=30　オカルト$ccb<=45　芸術(コメント)$ccb<=55　説得$ccb<=41　他の言語(英語)$ccb<=45　歴史$ccb<=35　心理学$ccb<=41　精神分析$ccb<=30　応急手当$ccb<=30　隠れる$ccb<=45　隠す$ccb<=52　回避,大学デビュー系オタク$年齢＝彼女いない歴DT,キルキルイキル,別世界線に飛ばされたオタク,,純粋に頭いい,,まだ生きてますよ,オタクそういう死に方好き,戦犯,186
23,Shiranui_Hazeru.html,,不知火爆,しらぬいはぜる,18,男,高校3年生,#F9E97A,10/10,10/10,50/50,0,13,9,10,10,14,10,13,11,"ccb<=50　幸運
$ccb<=65　アイデア
$ccb<=55　知識
$ccb<=45　聞き耳
$ccb<=75　目星
$ccb<=65　図書館
$ccb<=60　応急手当
$ccb<=31　他言語(英語)
$ccb<=15　オカルト
$ccb<=50　回避
$ccb<=45　跳躍
$ccb<=45　信用
$ccb<=45　説得
$ccb<=25　心理学
$ccb<=65　キック$ccb<=3　クトゥルフ神話",推薦で大学行く系陽キャ$副生徒会長でバスケ部$女の子が好き$背が低いことを気にしている$童顔なのは好き,奇奇怪怪同好会,"陽キャ
おねーさん♡って呼ぶの好き",じんぱちの王道,,おねーさんと一緒に遊びに行こうよ,,今度は盛れたプリ撮れるといいね,"https://picrew.me/image_maker/19771
差分付け足し",159
24,Uwabami_Mari.html,,蟒蛇痲莉,うわばみまり,17,女,高校2年生,#974DB8,15/15,14/14,14/70,0,5,15,14,16,12,12,14,10,ccb<=70　幸運$ccb<=70　アイデア$ccb<=50　知識$ccb<=75　聞き耳$ccb<=65　目星$ccb<=55　図書館$ccb<=60　応急手当$ccb<=50　運転(普通二輪)$ccb<=35　芸術(書道)$ccb<=41　精神分析$ccb<=25　心理学$ccb<=55　言いくるめ$ccb<=52　回避$ccb<=20　隠れる,趣味は音楽聞くこと$好きな本のジャンルはミステリー$上に4つ離れた兄,片鱗【HO高校生】,想定してたRPは出来なかったけどこれはこれでよし！,,,,,楽しく生きてほしい,創造主,167
25,Magatsuhi_Mikoto.html,,禍終命,まがつひみこと,25,男,ホスト,#C10E49,15/15,12/12,55/60,1D4,11,15,12,7,15,14,15,11,ccb<=60　幸運$ccb<=75　アイデア$ccb<=55　知識$ccb<=65　聞き耳$ccb<=60　目星$ccb<=35　図書館$ccb<=50　応急手当$ccb<=41　精神分析$ccb<=45　心理学$ccb<=15　言いくるめ$ccb<=55　説得$ccb<=30　隠れる$ccb<=64　回避$ccb<=60　キック$ccb<=31　マーシャルアーツ$$1d6+1d4　キック,NO.3ホスト$源氏名はMIKOTO$チャームポイントは八重歯♡$お酒はそれなりに強い$キラキラしたものが好き,Oh\ My Baby【HO1】,"めちゃ楽し～！！！
継続で誰かとおしゃべりしたい",,,,,柔らかDV男,"https://picrew.me/image_maker/11689
差分付け足し",175
26,Mozu.html,,百舌鳥,もず,23,?,?,#91BCB5,11/11,15/15,75/75,0,12,10,15,14,15,11,20,11,ccb<=75　幸運$ccb<=95　アイデア$ccb<=55　知識$ccb<=50　目星$ccb<=50　聞き耳$ccb<=28　回避,天然でやや電波,デウス・エクス・マキナは死んだ【HOカミ】,ゆるふわかみさま,綺麗だね、二人仲良くね,おねえさんっ！！猫耳似合ってるよ！！,かわいい～！！,,,上司,165
27,Shisui_Toru.html,,狋翠透,しすいとおる,22,男,新米刑事,#FBE340,10/10,16/16,80/80,0,11,9,16,15,10,10,18,15,ccb<=80　幸運$ccb<=90　アイデア$ccb<=75　知識$ccb<=35　目星$ccb<=40　聞き耳$ccb<=75　図書館$ccb<=50　回避$ccb<=35　心理学$ccb<=50　応急手当$ccb<=41　精神分析$ccb<=35　言いくるめ$ccb<=60　追跡$ccb<=80　太刀(日本刀)$ccb<=41　マーシャルアーツ$$2d10+2　電子刀(二刀)$1d10+1　電子刀(一刀),左目や体の至るところに古傷$好物はエビフライとプリン$年功序列は気にする方,VOID【HO1】,"ツンツンツンツンデレ
いい子だね～！！！！！",,天才君見参！って感じした,,もうこいつ一人で良いんじゃ…？,"出目が主人公のそれ
ロイドのパートナーでいてくれてありがとう",創造主,159
28,Nano.html,,七埜,なの,13,女,?,#F04B2D,11/11,11/11,31/55,0,15,13,11,11,9,8,9,10,"ccb<=55　幸運$ccb<=45　アイデア$ccb<=50　知識$ccb<=75　目星$ccb<=45　聞き耳$ccb<=65　図書館
$ccb<=52　回避$ccb<=40　隠れる
$ccb<=41　精神分析$ccb<=45　医学
$ccb<=25　心理学$ccb<=45　キック",地頭よわよわ$でも変なところで聡い$年齢のわりに中身は幼い,誰かが死んでいる【HO3】,思ってたよりいいこになってしまった,このやんちゃ感最高,髪の毛編んであげれなかったことが一番の後悔,,希少のアホの子,,"https://picrew.me/image_maker/20965
差分付け足し",143
29,Nikaido_Sera.html,,二階堂瀨來,にかいどうせら,15,女,高校1年生(図書委員),#38B48B,11/11,10/10,50/50,1D4,18,13,10,18,15,9,16,13,ccb<=50　幸運$ccb<=80　アイデア$ccb<=65　知識$ccb<=45　目星$ccb<=70　聞き耳$ccb<=85　図書館$ccb<=64　回避$ccb<=45　機械修理$ccb<=65　言いくるめ$ccb<=45　応急手当$ccb<=45　芸術(オーボエ)$ccb<=51　芸術(お嬢様)$ccb<=65　心理学$ccb<=50　歴史$ccb<=60　博物学,,脱獄は乙女の嗜み【HO2】,"負けず嫌い！
本当の愛ってなんだろうね？","せらちゃん泣泣
ごめんねぇ～～～",来世でお友達になりたいある、、、,,油断も隙もないですわ…！,ふせで泣いた,戦犯/上司/創造主,146
30,Nekoma.html,,猫魔,ねこま,?,?,神話生物,#F7A57D,40/40,21/21,50/50,3d6,5,15,21,77,10,65,30,11,ccb<=100　幸運$ccb<=150　アイデア$ccb<=55　知識$ccb<=75　目星$ccb<=75　聞き耳$ccb<=25　図書館$ccb<=60　跳躍$ccb<=20　ナビゲート$ccb<=55　隠す$ccb<=85　芸術(もふもふ)$ccb<=74　芸術(毛繕い)$ccb<=65　猫パンチ$ccb<=45　かぎ爪$ccb<=5　クトゥルフ神話$$3d6　猫パンチ$1d6+3d6　かぎ爪,"猫の王様$好きなものは日向ぼっことニンゲン$語尾の""にゃん""は後付け$大きさ可変$一人称は""にゃ～""$AF：ヴェールの石",愛飢ゑヲワル【HO神話生物】,"にゃ～
もふもふもふ～",もふもふもふもふ,ずっと一緒にいてほしい,,,もふもふもふ〜〜〜,上司,300
31,Kimi.html,,きみ,きみ,21,男,天災,#FF2FA2,15/15,1000/1000,70/70,1D4,13,16,14,9,11,14,12,13,ccb<=70　幸運$ccb<=60　アイデア$ccb<=65　知識$ccb<=95　目星$ccb<=95　聞き耳$ccb<=95　図書館$ccb<=95　回避$ccb<=90　天文学$ccb<=95　サブマシンガン,自由人$楽しいことが好き$自分が一番かわいい$でもなんだかんだろくには甘い,World End Breakers【HO天災】,"適当にしゃべってるだけ
ろくちゃん大事にしろよな",,,,,,"https://picrew.me/image_maker/27716
差分付け足し",176
32,Kuze_Tsumugu.html,,久世紡,くぜつむぐ,27,男,物書き(フリーター),#7FD6E2,3/14,11/11,0/55,0→1d6,8+8,16,11,14,9-5,11+8,14-7,12,ccb<=55　幸運$ccb<=70　アイデア$ccb<=60　知識$ccb<=75　目星$ccb<=45　聞き耳$ccb<=65　図書館$ccb<=60　歴史$ccb<=75　こぶし$ccb<=52　回避$ccb<=45　説得$ccb<=30　芸術(ピアノ)$ccb<=35　芸術(ダイビング)$ccb<=30　製作(カクテル)$ccb<=40　博物学,フリーダムでマイペース$とりあえずやってみるタイプ$物書きになったのは一週間前$そんなに欲がない,Good Morning\ ALL【HO重病人】,最期にフローちゃんに出会えてよかったね,,,,,一緒にいるの楽しかったのにな…,https://picrew.me/image_maker/1369676,164
33,Sudama_Saki.html,,魑魅魁,すだまさき,27,女,ホラー作家,#7B788A,10/10,12/12,60/60,0,10,8,12,11,8,12,15,12,ccb<=60　幸運$ccb<=75　アイデア$ccb<=60　知識$ccb<=35　目星$ccb<=50　幸運$ccb<=75　聞き耳$ccb<=37　回避$ccb<=45　応急手当$ccb<=45　心理学$ccb<=35　医学$ccb<=70　オカルト$ccb<=55　説得$ccb<=40　歴史$ccb<=50　芸術(妄想)$ccb<=60　キック,ミステリ/ホラー作家$元々腐の二次創作字書き$きたのよぞら〈魁星〉$代表作「よるのこども」,旅館の捕食者【HO2】,大人っぽいけどやっぱり子供だね,行かないで～～,,,,精神的支柱,https://picrew.me/image_maker/1140610,168
34,Louisa_Meer_Wolf.html,,Louisa・Meer・Wolf,るいーざ・めーあ・ヴぉるふ,31,女,将軍,#FFE632,14/14,14/14,70/70,1D4,12,13,14,11,13,14,10,16,ccb<=70 　幸運$ccb<=50 　アイデア$ccb<=80 　知識$ccb<=45 　聞き耳$ccb<=60 　目星$ccb<=75 　図書館$ccb<=57 　回避$ccb<=60 　応急手当$ccb<=41 　精神分析$ccb<=71 　操縦(軍艦)$ccb<=35 　信用$ccb<=15 　心理学$ccb<=55 　キック$ccb<=60 　拳銃$ccb<=55 　サブマシンガン,,蹂躙するは我が手にて【HO2】,,強い女最高,,,,,🦐/だま,178
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
